first_name,second_name,goals_scored,assists,minutes,influence,threat,now_cost
Folarin,Balogun,0,0,0,0.0,0.0,44
Gabriel,Fernando de Jesus,4,7,1470,364.8,756.0,77
Eddie,Nketiah,5,4,1065,235.0,417.0,50
Keinan,Davis,0,0,0,0.0,0.0,49
Jhon,Durán,5,1,461,190.2,165.0,50
Ollie,Watkins,19,18,3222,1024.6,1420.0,89
Wesley,Moraes Ferreira da Silva,0,0,0,0.0,0.0,50
Kieffer,Moore,1,0,100,37.4,81.0,46
Antoine,Semenyo,8,4,2099,506.8,748.0,45
Dominic,Solanke,19,3,3325,902.0,1348.0,69
Enes,Ünal,2,4,317,142.4,242.0,50
Halil,Dervişoğlu,0,0,0,0.0,0.0,45
Ivan,Toney,4,3,1449,289.6,524.0,77
Yoane,Wissa,12,4,2488,592.8,769.0,57
Neal,Maupay,6,3,1417,325.8,568.0,49
Aaron,Connolly,0,0,0,0.0,0.0,45
Evan,Ferguson,6,1,1356,275.0,393.0,57
João Pedro,Junqueira de Jesus,9,3,2037,622.4,932.0,52
Deniz,Undav,0,0,0,0.0,0.0,55
Danny,Welbeck,5,4,1687,326.2,492.0,57
Andi,Zeqiri,0,0,0,0.0,0.0,44
Mark,O’Mahony,0,0,61,6.0,6.0,45
Lyle,Foster,5,3,1898,364.2,467.0,47
Michael,Obafemi,0,0,19,0.0,17.0,49
Jay,Rodriguez,2,1,811,138.8,232.0,53
Wout,Weghorst,0,0,0,0.0,0.0,55
David Datro,Fofana,4,1,876,212.0,273.0,50
Zeki,Amdouni,5,1,1953,372.8,509.0,51
Pierre-Emerick,Aubameyang,0,0,0,0.0,0.0,65
Romelu,Lukaku Bolingoli,0,0,0,0.0,0.0,68
Nicolas,Jackson,14,6,2801,783.8,1098.0,70
Christopher,Nkunku,3,0,437,134.6,222.0,72
Mason,Burstow,0,0,8,0.4,2.0,45
Deivid Washington,de Souza Eugênio,0,0,11,0.0,4.0,45
Ronnie,Stutter,0,0,0,0.0,0.0,45
Tyrique,George,0,0,0,0.0,0.0,45
Odsonne,Edouard,7,0,1545,359.6,663.0,53
Jean-Philippe,Mateta,16,7,2274,775.0,741.0,51
Luke,Plange,0,0,0,0.0,0.0,45
John-Kymani,Gordon,0,0,0,0.0,0.0,45
Ademola,Ola-Adebomi,0,0,0,0.0,0.0,45
Franco,Umeh-Chibueze,0,0,0,0.0,0.0,45
Dominic,Calvert-Lewin,7,3,2166,403.0,901.0,58
Ellis,Simms,0,0,0,0.0,0.0,45
Youssef,Ramalho Chermiti,0,0,196,19.2,84.0,48
Thomas,Cannon,0,0,1,0.0,0.0,45
Norberto Bercique,Gomes Betuncal,3,0,943,158.8,425.0,57
Armando,Broja,1,2,529,75.6,152.0,49
Aleksandar,Mitrović,0,0,32,6.4,26.0,74
Rodrigo,Muniz Carvalho,9,2,1589,409.0,875.0,43
Carlos Vinícius,Alves Morais,2,0,306,83.6,139.0,45
Raúl,Jiménez,7,0,1390,335.8,440.0,50
Jay,Stansfield,0,0,0,0.0,0.0,45
Darwin,Núñez Ribeiro,11,11,2033,660.8,1223.0,75
Cody,Gakpo,8,5,1633,521.4,708.0,71
Lewis,Koumas,0,0,0,0.0,0.0,45
Jayden,Danns,0,0,7,0.0,0.0,43
Elijah,Adebayo,10,1,1405,413.6,527.0,48
John,McAtee,0,0,0,0.0,0.0,45
Carlton,Morris,11,6,2859,620.2,908.0,47
Admiral,Muskwe,0,0,0,0.0,0.0,45
Chiedozie,Ogbene,4,4,1987,412.6,486.0,48
Aribim,Pepple,0,0,0,0.0,0.0,45
Joe,Taylor,0,0,0,0.0,0.0,45
Cauley,Woodrow,1,1,406,127.0,103.0,43
Jacob,Brown,2,1,1013,162.6,249.0,49
Taylan,Harris,0,0,0,0.0,0.0,45
Julián,Álvarez,11,11,2644,737.0,992.0,64
Erling,Haaland,27,8,2553,1094.6,1581.0,143
Anthony,Martial,1,1,439,67.2,97.0,64
Shola,Shoretire,0,0,0,0.0,0.0,44
Rasmus,Højlund,10,2,2156,480.6,648.0,71
Joe,Hugill,0,0,0,0.0,0.0,45
Ethan,Wheatley,0,0,13,2.0,0.0,45
Alexander,Isak,21,4,2253,877.4,1054.0,84
Callum,Wilson,9,1,981,366.2,563.0,78
Ben,Parkinson,0,0,24,2.0,0.0,45
Michael,Ndiweni,0,0,1,0.2,0.0,44
Taiwo,Awoniyi,6,3,1036,303.2,308.0,63
Emmanuel,Dennis,0,0,0,0.0,0.0,48
Sam,Surridge,0,0,0,0.0,0.0,45
Hwang,Ui-jo,0,0,0,0.0,0.0,44
Chris,Wood,14,1,1801,598.2,795.0,47
Divock,Origi,0,1,594,50.4,99.0,50
Detlef Esapa,Osong,0,0,0,0.0,0.0,45
Joe,Gardner,0,0,0,0.0,0.0,45
Rodrigo,Duarte Ribeiro,0,0,14,1.2,6.0,45
Cameron,Archer,4,3,1829,266.0,353.0,42
Rhian,Brewster,0,0,338,21.0,85.0,49
Daniel,Jebbison,0,0,20,0.0,4.0,48
Oliver,McBurnie,6,3,1279,377.4,501.0,54
Iliman,Ndiaye,0,0,0,0.0,0.0,55
William,Osula,0,1,778,27.0,200.0,42
Bénie,Traoré,0,0,383,25.8,31.0,51
Louie,Marsh,0,0,0,0.0,0.0,45
Antwoine,Hackford,0,0,11,0.0,0.0,44
Billy,Blacker,0,0,0,0.0,0.0,45
Harry,Kane,0,0,0,0.0,0.0,125
Dane,Scarlett,0,0,19,2.0,6.0,45
Alejo,Véliz,1,0,45,35.2,29.0,54
Jamie,Donley,0,0,3,3.0,0.0,45
Timo,Werner,2,4,808,179.0,305.0,63
Michail,Antonio,6,2,1692,308.6,395.0,57
Danny,Ings,1,2,389,82.4,125.0,55
Divin,Mubama,0,0,75,0.2,5.0,41
Gianluca,Scamacca,0,0,0,0.0,0.0,60
Callum,Marshall,0,0,0,0.0,0.0,45
Fábio,Silva,0,0,259,25.2,93.0,52
Sasa,Kalajdzic,2,0,158,94.0,66.0,49
Matheus,Santos Carneiro Da Cunha,12,7,2438,786.0,872.0,55
Nathan,Fraser,0,0,183,22.4,36.0,45
Leon,Chiwome,0,0,173,7.8,13.0,45
Fletcher,Holman,0,0,0,0.0,0.0,45
